uid,mtime,uname,vipType,level,sex,sign
153393803,1630148272,柳絮因风惑朝夕,2,5,保密,且将新火试新茶，诗酒趁年华
431139255,1630148339,干翻原神崩坏必胜,1,3,保密,
500165608,1630148196,立秋无业游民,1,4,保密,
430713344,1630148256,一个自觉的单推人,1,5,男,咸鱼一条
236117334,1630148385,harrylee100,0,4,保密,
1554136973,1630148236,慵懒蓝色,0,3,保密,我自不开花 免撩蜂与蝶
393784733,1630148330,30356057989_bili,1,4,保密,
506199413,1630148317,家麦克,0,2,保密,
1737195275,1630148224,bili_99839582140,0,2,保密,
23212742,1630148384,yaoyaojun,0,5,保密,
523766087,1630148224,裴擒虎妞,0,3,保密,
1593265901,1630148292,欧-皇,1,4,保密,ⓘ 该账号封禁中
552428190,1630148161,名字是不知道叫啥,0,3,保密,全体起立 LBWNB
287134963,1630148159,快乐的白嫖五级号,2,5,保密,当白嫖党不再白嫖了
349503754,1630148242,伏黑惠给我贴贴,1,4,保密,
336001528,1630148314,83746325037_bili,1,4,保密,
289222415,1630148186,Susuluo2018,0,2,保密,
1520038759,1630148349,匆匆的一个人,1,3,保密,
2082924812,1630148228,bili_39241155276,0,2,保密,
493529961,1630148373,叫朝嵬的小山鬼,2,4,保密,嵬？是你吗？
16554865,1630148067,小银群群群,2,4,保密,
634615959,1630148093,六面战神,2,3,保密,
39372087,1630148024,liarsss,1,3,保密,
627525773,1630148062,栋旭小公举,0,3,保密,
488156231,1630148005,墨子飏,0,3,保密,
522230245,1630148003,思明一诺ci,0,4,保密,wow 
18152313,1630148010,佑籽啊,1,4,保密,
1724055510,1630148033,zongma,0,2,保密,
506741960,1630148059,bili_79638284470,0,2,保密,
102337504,1630148158,芥末恰凉凉,1,5,保密,   来吃点芥末吧
34766218,1630147970,DA利闫,0,4,保密,
1331597020,1630147990,四喜吱,0,2,保密,
1732341006,1630148143,小曹伟航,0,2,男,
1850925484,1630148139,君迁子-2103,1,2,保密,
33298349,1630147957,我Jio得拔戳,1,5,男,
547145836,1630147997,扎你大动脉,0,3,保密,
679003053,1630148078,bili_90775666029,0,0,保密,
1807393803,1630148015,糖焗土豆,0,2,保密,
1034483061,1630147939,愚蠢小辰,1,4,保密,
191003023,1630147947,红烧排骨鹌鹑蛋,1,4,保密,在学习 
1588842935,1630147738,解透教材van著,0,2,保密,
1177286090,1630147884,阿卅肆,0,2,保密,
1546012713,1630147710,bili_91624695516,0,0,保密,
694047933,1630147757,-せた-,2,3,保密,
458153255,1630147871,此望铭兰与故荣,0,3,男,为何看不清故乡的模样，即使他就在心的中央
89271072,1630147783,i橘鬼丶,2,5,保密,？？？？
505691241,1630147921,uuuu图图他,0,2,保密,DIFFERENTSEASONS
1939388715,1630147756,我是高达的线人,0,2,保密,
108081198,1630147762,家里蹲的家里蹲,1,5,男,
1909912683,1630147776,若念慕,1,2,保密,
513795345,1630147734,LLiut,0,4,保密,！！
485136782,1630147704,让识菌,2,3,保密,中考奋战ing 
384925293,1630147704,煙さん,1,5,保密,@kemuri_official
414946328,1630147736,雾v梦,1,4,保密,
470706341,1630147702,Mia煮酒,0,3,保密,潇洒坦荡、干净自由
693905459,1630147704,Masque-zb,0,2,保密,NINEPERCENT
76956459,1630147763,没有感情的拆塔工具人,1,4,保密,
297363361,1630147705,弥勒武帝,1,2,保密,
434868410,1630147751,海棠花开你不再来,1,4,保密,假如我年少有为不自卑
436200505,1630147732,风痕之子,2,4,保密,
494773058,1630147641,树吉,2,4,保密,
481255615,1630147610,这个昵称很长的,0,2,保密,
429668059,1630147599,羽川翼的猫,0,4,保密,
1628420444,1630147592,bili_36533569974,0,0,保密,
1569870031,1630147670,倪简丰,0,0,保密,
325893253,1630147523,阳光魔方阁,0,4,保密,2018YUAN08. 三阶官方sub10，有sub8.5的水平 二阶2.5左右 三单官方平均13.21
482097896,1630147486,殷何,1,2,保密,
1454911568,1630147654,bili_40403925425,0,1,女,
392707,1630147499,星空很久不碰相机,0,5,保密,
504747029,1630147484,瓏癃籠鸗靇爖礱豅,0,2,保密,
674823023,1630147654,朗基努斯之枪v,1,4,保密,
50797436,1630147621,喵喵喵1793,1,4,保密,
645943712,1630147558,RD太可爱,0,2,保密,
1105301797,1630147663,夜渡远山,0,2,保密,
1656461769,1630147401,星域灵蓝,1,2,女,
1857022530,1630147421,wow小芋,0,2,保密,
383485520,1630147541,橘生-X,1,3,保密,
44150036,1630147671,也是都很好吃,2,3,保密,"纵有疾风起,人生不言弃"
650451675,1630147396,生而为爷我很抱歉555,1,3,保密,
1815952463,1630147435,青草涟泳cqf,0,2,保密,
259256982,1630147260,SCP-2000X,1,5,保密,与你而起，伴着无尽的愉悦
360640940,1630147382,羡羨家的小苹果,1,4,保密,
1435708545,1630147250,乐于吕love,1,2,保密,
1272647294,1630147344,墨染琉璃yyds,0,2,保密,
92377441,1630147382,球球你了_,0,3,保密,
255956648,1630147234,天选之子QMS,0,0,保密,
649045599,1630147192,bili_55390960307,0,0,保密,
1744238798,1630147154,混沌无极秀,0,2,保密,
1801014292,1630147289,R雨落长安夜Q,0,2,保密,
1779817317,1630147139,徐二琉,0,2,保密,
8998013,1630147330,咕咕哩哩baby,0,2,保密,想学水彩的大姐
77565275,1630147324,徘徊在转角,0,3,保密,无山无水亦见山水，有吾之心即是吾心。有是有非不谈是非，无吾之境正是吾境。
40886261,1630147329,丶盼兮,2,5,保密,每个人都要经历掏心掏肺付出，然后换来撕心裂肺的结果，从此以后就会发现没心没肺的好处。
1237299772,1630147327,bili_63979777501,1,0,保密,
698018769,1630147089,bili_44620405014,0,0,保密,
650765109,1630147276,bili_86211804560,1,0,保密,
627886800,1630147140,海鸥海鸥等等我,0,2,保密,
1797512750,1630147099,bili_83045769931,0,2,保密,
361115346,1630147053,吃我的短裤,0,4,保密,
433191521,1630147275,安希阳,0,4,保密,小白，你就是我的太阳
499504450,1630146911,see阿们,1,2,保密,
1467102038,1630146920,子沐正侃,0,0,保密,
470356633,1630146952,隔壁乔奶奶的念妹妹,1,4,保密,
1967199375,1630146911,友人白c,1,2,保密,
543958968,1630147002,冰晶蝶灵紫梦殇雪,0,4,保密,
1224562640,1630146999,煎蛋爵迹,0,2,保密,
284631100,1630146894,炫彩小马,1,5,保密,
241615908,1630147021,草莓味の奶昔呀,0,4,保密,
520603851,1630146999,山壁,0,3,保密,
1124484080,1630146868,乐乐乐乐乐乐乐乐来了,0,2,保密,
1504027152,1630146904,枫叶柏树,2,2,保密,
480707036,1630146858,bili_50691812486,0,2,保密,
496823646,1630146923,bili_34186185947,2,2,保密,
11496167,1630146849,张是张可爱的张Zhang,1,4,保密,就这样吧，我觉得可以。
475363172,1630146865,丶别来无恙丶,1,3,保密,
491358744,1630146909,小王本王i,0,3,保密,奔向暴富的小王
506888321,1630146834,monster-sxj,0,3,保密,
3132211,1630146964,不加Ice的Cola君,1,5,保密,
493819470,1630146834,bili_17977683909,0,1,保密,恩？
626934378,1630146971,bili_75004563437,0,2,保密,
1032852516,1630146744,夜之眷顾不需要睡觉,0,3,保密,
437071744,1630146752,陨落皆星辰-,1,4,保密,一个悬于诗句的男人.
368052893,1630146738,敏民与怪兽世界,1,5,保密,
454813219,1630146684,熠耀之梦,0,0,保密,
1605275323,1630146703,Cuber虫大,0,2,保密,Cuber-doge小号 
1916233290,1630146699,麦大茶,1,4,女,
2062023793,1630146662,沉默的涵养,0,2,保密,
611145422,1630146830,sin_cos_,0,3,保密,爱意东升西落 浪漫至死不渝
2093351467,1630146786,MonMonMonMo,1,3,保密,
44702001,1630146542,诺亚小o0蜗牛,0,4,保密,
381859507,1630146793,gjhwsw,0,2,保密,
356754573,1630146643,Polaris--o,0,2,保密,
388340033,1630146764,60181857654_bili,0,3,保密,
490402857,1630146796,皮卡皮卡丘比特犬,1,2,保密,
1677941997,1630146828,在下呃语有何贵干,0,3,保密,
496890577,1630146557,a_mo_raul,0,2,保密,
1084130323,1630146569,樱吹雪道绝缘,0,0,保密,
1596874984,1630146485,bili_73361022910,0,0,保密,
516950493,1630146519,bili_81479806201,0,0,保密,
412160719,1630146485,点击登录-月球,1,5,女,
402151173,1630146384,张氏沉浮,2,4,保密,
17303994,1630146301,妈了个巴子的大裤衩,1,4,保密,
1081142240,1630146407,没人比我更懂二刺螈,0,2,保密,
1588155733,1630146448,小妖怪zyy,0,2,保密,
1846094134,1630146290,Theone77777,1,2,保密,
194278568,1630146458,海贼干货,0,5,保密,原“至尊老法师”，更名“海贼干货”。 某音、某瓜，同名。 刚开始专注于海贼的内容分享，感谢大家的支持～
350420328,1630146330,扶桑泪,1,4,保密,
1532451328,1630146351,大宝贝大城,0,2,保密,
351732230,1630146371,25K纯帅L,0,3,保密,
611923389,1630146359,沙雕de猪,0,3,保密,我是一个灵魂画家
1044486378,1630146250,小李同学是宝藏阿婆主,0,2,保密,
523046456,1630146287,采蒹,1,3,保密,sinking
586858544,1630146361,蛋王扫六合,1,2,保密,
21772794,1630146285,下雨天常打伞,1,5,保密,
517712743,1630146266,北冥__翼,0,2,保密,
523740484,1630146253,十连还不出,0,3,保密,
261781869,1630146316,我要努力当学霸,1,0,保密,
782572,1630146239,tanyishibendan,2,5,保密,
1600238962,1630146306,鹤卿非汝菜,0,2,男,
471040462,1630146263,神说的light,2,4,保密,
1273451985,1630146164,啥时候想到名再取,0,2,保密,
1772752242,1630146235,我的名字是铭子,0,2,保密,我这个人十分神秘，只写了这一句话
2017708288,1630146203,马洪滨是我,0,2,保密,
492250841,1630146211,bili_12309695764,0,0,保密,
2129959571,1630146193,bili_12429787454,0,0,保密,
442077501,1630146226,自鸽少年,0,3,保密,全力以赴，你会很酷
15380540,1630146183,早木王八三,0,3,保密,
308790721,1630146087,-一-一-x,0,4,女,好
443397817,1630146131,秋名山的真升机,0,4,保密,
1017073854,1630146077,我我我真来了,0,2,保密,
1519197184,1630146163,bili_54929857766,1,0,保密,
647374378,1630146081,就这样07,0,2,保密,
1653140896,1630146179,盛景繁花,0,2,女,啦啦啦
499908611,1630146081,枫听落木の尾声,1,4,保密,
1543201996,1630146063,请输入新的昵称12345,1,2,保密,
602450123,1630146063,我又双叒叕投降了,0,3,保密,
1504118292,1630146058,雾雨了已经,1,2,男,
323647177,1630146101,Smmmmmmmmmir,1,3,保密,
509748988,1630146149,綠帽大仙,0,4,保密,国粤语经典歌爱好者，港台音乐迷。
2065497001,1630146155,bili_11147869657,0,1,保密,
276923073,1630146038,yuyuqwee,1,3,保密,
571641932,1630146035,bili_97455163135,0,4,保密,
56935255,1630145963,旅店老板娘5819,2,5,保密,
443026104,1630145982,我要变欧欧欧欧欧,1,4,女,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
96273557,1630145969,EvanNorton,1,5,保密,显然这个up是新手的小号之：实在不行就当我是会花钱想产出的路人就好了。
1632315705,1630145971,邬茶,1,2,保密,
502928779,1630146034,侯馨宜,0,2,保密,
284564983,1630145951,光明之皑,0,3,保密,
20080336,1630146010,路lllllwk,1,5,男,微博:@siscon梵音
23080409,1630146031,咦你瞅,2,5,保密,
455193426,1630145911,正所谓锅从天降,1,3,保密,
701671779,1630146031,憨匪123,0,2,保密,
1656563825,1630146027,分子降解,0,3,女,
86798741,1630145934,可达鸭鸭up,1,4,保密,
324600955,1630146002,肖万好人,1,3,保密,
94795759,1630146008,苏某的专属小公举,1,3,保密,
382582681,1630145924,乙醇不浓,1,4,保密,
549817302,1630145935,风逝win,2,3,保密,。。。。。。。。
1392815211,1630145913,素尘丷,0,2,保密,
323593621,1630145891,小熊辣娇,1,3,保密,头像事我自己画的儿童屑画，如有雷同，纯属巧合！ 我不会在意别人的言论，我仅爱我所爱。
505217787,1630145741,bili_24795179125,1,2,保密,
703035773,1630145875,尘间清雨,0,2,保密,
281429632,1630145860,1572814850,0,4,保密,
431929750,1630145721,skianwnoduwnd,0,4,女,
321089207,1630145839,林灼蕖,0,5,女,远而望之，皎若太阳升朝霞；迫而察之，灼若芙蕖出渌波
484721576,1630145717,玉洁冰清AMX,2,3,保密,
1734978098,1630145848,老白HGY,0,0,保密,
86440181,1630145715,暖光浅笑1026,0,0,保密,
1577745230,1630145728,真WHL,0,2,保密,
646195276,1630145701,苓栀,1,2,保密,
507764071,1630145771,站着好好活,0,4,保密,
443016507,1630145689,为啥取个名这么难123,2,3,保密,
482225387,1630145773,Aaaaa阿桃,0,2,保密,
430243882,1630145770,不进年级前20誓不改名,0,2,保密,
455173725,1630145670,dell天堂了,1,4,男,我很懒啥都没留下
667787775,1630145668,balloon妍,0,2,保密,懒
8339765,1630145793,我心烫,2,5,保密,
444318076,1630145802,姬千吖,0,2,保密,
642120545,1630145660,花去人空,0,3,保密,
1239047700,1630145699,bound-less,1,2,保密,
4078518,1630145619,风雨中的纸鹤,2,5,男,由于系统延迟，请刷新查看
478793986,1630145498,许攸之,0,0,保密,世界上最美丽的，是黑暗中那若隐若现的光影。
1339935068,1630145510,一只快乐的老王,0,0,保密,
41030767,1630145583,白雀城人,0,4,保密,
688419088,1630145515,国服ad温客行,1,2,保密,
620790102,1630145499,青檬吼吼,1,4,保密,我是海豚
499099132,1630145463,换个名字卷土重来,0,3,保密,
382312595,1630145569,海洋在变壮,1,3,男,喜欢锻炼 热爱跳舞 下决心要增肌增重
323248060,1630145599,呆小璇,1,2,保密,
441058284,1630145497,Steve-303,1,4,保密, 
529462665,1630145509,鸭蛋嘿,1,2,保密,
245031829,1630145538,鹿文艺,1,5,保密,
472248852,1630145455,祖安少女在线沙雕,0,4,保密,四十，离异带仨娃.
454006835,1630145428,CYKA老东西,0,3,保密,
1131756111,1630145567,牛牛牛牛牛牛牛牛拉,0,2,保密,
514929548,1630145449,暗杀者代号007,0,4,保密,呦呦呦~看看谁来了？来了就别走啦！给个三连加关注吧~
496432024,1630145523,bili_18430159285,0,2,保密,
